Name
Memoirs of the Life, Public and Private Adventures of Madame Vestris. George Colman, John Duncombe, 1826.
Personal Reminiscences of Henry Irving. Bram Stoker, Macmillan 1906.
On the Art of the Theatre. Edward Gordon Craig, Heinemann, 1911.
Hints to Speakers and Players. Rosina Filippi, Edward Arnold, 1911.
Shakespeare in the Theatre. William Poel, Sidgwick and Jackson, 1913.
The Theatre of Max Reinhardt. Huntley Carter, F. and C. Palmer, 1914.
The Career of Dion Boucicault. Townsend Walsh Dunlap Society, 1915. (Repr. Arno Press, 1972.)
Some Notes on Shakespeare’s Stage and Plays. William Poel, Manchester University Press, 1916.
The Life of Augustin Daly. Joseph Francis Daly, Macmillan, 1917.
The Life of David Belasco. 2 vols. William Winter, Mofft, Yard and Co., 1918.
How’s Your Second Act? Arthur Hopkins, Philip Goodman, 1918.
The Theatre Through the Stage Door. David Belasco, Harper & Row, 1919.
Goethe on the Theatre. John Oxenford, Dramatic Museum of Columbia University, 1919.
What is Wrong with the Stage: Some Notes on the English Theatre from the Earliest Times to the Present Day. William Poel, Allen and Unwin, 1920.
Herbert Beerbohm Tree: Some Memories of Him and of His Art. Max Beerbohm, Classic Books, 1920.
The Exemplary Theatre. Harley Granville-Barker, Chatto and Windus, 1922.
Madame Vestris and Her Times. Charles Pearce, Stanley Paul, 1923. (Reprint: B. Blom, 1969.)
My Life in Art, Konstantin Stanislavsky, trans. J.J. Robbins, Little, Brown, 1924.
Antoine and the Théâtre Libre. Samuel Waxman, Harvard University Press, 1926.
Reflections from Shakespeare: A Series of Lectures. Lena Ashwell, Hutchinson, 1927.
Eva Le Gallienne’s Civic Repertory Plays. Eva Le Gallienne, W.W. Norton, 1928.
The Art of Rehearsal. George Bernard Shaw, Samuel French, 1928.
The Stage. Lena Ashwell, G. Bles, 1929.
The Theatre Guild: The First Ten Years. Walter Prichard Eaton, Brentano’s, 1929.
Henry Irving. Gordon Craig, J.M. Dent and Sons, 1930.
Myself and the Theatre. Theodore Komisarjevsky, E.P. Dutton, 1930.
